   74.50      0.7643E-01 -0.3998E-01  0.9040E-01 -0.2402     -0.2188    
   75.00      0.7164E-01 -0.5656E-01  0.8762E-01 -0.2364     -0.2160    
   75.50      0.6727E-01 -0.7319E-01  0.8475E-01 -0.2309     -0.2124    
   76.00      0.6332E-01 -0.8965E-01  0.8180E-01 -0.2238     -0.2077    
   76.50      0.5977E-01 -0.1057      0.7882E-01 -0.2149     -0.2020    
   77.00      0.5659E-01 -0.1210      0.7586E-01 -0.2041     -0.1952    
   77.50      0.5376E-01 -0.1354      0.7298E-01 -0.1914     -0.1873    
   78.00      0.5128E-01 -0.1484      0.7022E-01 -0.1770     -0.1783    
   78.50      0.4911E-01 -0.1599      0.6766E-01 -0.1608     -0.1684    
   79.00      0.4724E-01 -0.1695      0.6534E-01 -0.1431     -0.1576    
   79.50      0.4566E-01 -0.1769      0.6331E-01 -0.1241     -0.1461    
   80.00      0.4434E-01 -0.1821      0.6163E-01 -0.1041     -0.1341    
   80.50      0.4327E-01 -0.1849      0.6033E-01 -0.8336E-01 -0.1217    
   81.00      0.4243E-01 -0.1852      0.5942E-01 -0.6229E-01 -0.1091    
   81.50      0.4180E-01 -0.1831      0.5893E-01 -0.4122E-01 -0.9661E-01
   82.00      0.4138E-01 -0.1788      0.5883E-01 -0.2050E-01 -0.8433E-01
   82.50      0.4114E-01 -0.1722      0.5911E-01 -0.4514E-03 -0.7248E-01
   83.00      0.4107E-01 -0.1638      0.5975E-01  0.1866E-01 -0.6121E-01
   83.50      0.4115E-01 -0.1537      0.6071E-01  0.3661E-01 -0.5064E-01
   84.00      0.4138E-01 -0.1422      0.6194E-01  0.5322E-01 -0.4086E-01
   84.50      0.4173E-01 -0.1297      0.6340E-01  0.6838E-01 -0.3193E-01
   85.00      0.4220E-01 -0.1162      0.6503E-01  0.8202E-01 -0.2389E-01
   85.50      0.4277E-01 -0.1022      0.6681E-01  0.9411E-01 -0.1674E-01
   86.00      0.4343E-01 -0.8788E-01  0.6867E-01  0.1047     -0.1045E-01
