   73.00      0.8320     -0.5220E-02  0.2833E-01 -0.4439E-01 -0.4534E-01
   73.50      0.8092     -0.4565E-02  0.2775E-01 -0.4527E-01 -0.4556E-01
   74.00      0.7871     -0.3907E-02  0.2707E-01 -0.4612E-01 -0.4577E-01
   74.50      0.7656     -0.3250E-02  0.2630E-01 -0.4695E-01 -0.4597E-01
   75.00      0.7447     -0.2597E-02  0.2542E-01 -0.4776E-01 -0.4615E-01
   75.50      0.7244     -0.1953E-02  0.2444E-01 -0.4856E-01 -0.4632E-01
   76.00      0.7046     -0.1321E-02  0.2337E-01 -0.4933E-01 -0.4648E-01
   76.50      0.6854     -0.7037E-03  0.2219E-01 -0.5009E-01 -0.4664E-01
   77.00      0.6666     -0.1061E-03  0.2091E-01 -0.5084E-01 -0.4679E-01
   77.50      0.6484      0.4683E-03  0.1953E-01 -0.5158E-01 -0.4693E-01
   78.00      0.6305      0.1016E-02  0.1805E-01 -0.5230E-01 -0.4707E-01
   78.50      0.6132      0.1532E-02  0.1646E-01 -0.5302E-01 -0.4722E-01
   79.00      0.5962      0.2013E-02  0.1477E-01 -0.5373E-01 -0.4736E-01
   79.50      0.5796      0.2456E-02  0.1298E-01 -0.5443E-01 -0.4751E-01
   80.00      0.5635      0.2857E-02  0.1108E-01 -0.5512E-01 -0.4766E-01
   80.50      0.5476      0.3211E-02  0.9084E-02 -0.5581E-01 -0.4782E-01
   81.00      0.5321      0.3515E-02  0.6979E-02 -0.5650E-01 -0.4799E-01
   81.50      0.5170      0.3766E-02  0.4768E-02 -0.5719E-01 -0.4817E-01
   82.00      0.5021      0.3959E-02  0.2450E-02 -0.5787E-01 -0.4835E-01
   82.50      0.4876      0.4091E-02  0.2384E-04 -0.5855E-01 -0.4856E-01
   83.00      0.4733      0.4159E-02 -0.2512E-02 -0.5923E-01 -0.4877E-01
   83.50      0.4593      0.4159E-02 -0.5158E-02 -0.5992E-01 -0.4901E-01
   84.00      0.4456      0.4088E-02 -0.7917E-02 -0.6060E-01 -0.4926E-01
   84.50      0.4321      0.3943E-02 -0.1079E-01 -0.6129E-01 -0.4952E-01
   85.00      0.4189      0.3719E-02 -0.1378E-01 -0.6197E-01 -0.4981E-01
   85.50      0.4060      0.3416E-02 -0.1689E-01 -0.6266E-01 -0.5012E-01
   86.00      0.3932      0.3028E-02 -0.2013E-01 -0.6334E-01 -0.5045E-01
   86.50      0.3807      0.2553E-02 -0.2349E-01 -0.6403E-01 -0.5080E-01
   87.00      0.3684      0.1988E-02 -0.2697E-01 -0.6472E-01 -0.5118E-01
   87.50      0.3564      0.1329E-02 -0.3059E-01 -0.6540E-01 -0.5158E-01
   88.00      0.3446      0.5750E-03 -0.3435E-01 -0.6608E-01 -0.5201E-01
   88.50      0.3329     -0.2786E-03 -0.3825E-01 -0.6676E-01 -0.5247E-01
   89.00      0.3215     -0.1235E-02 -0.4229E-01 -0.6743E-01 -0.5295E-01
   89.50      0.3104     -0.2296E-02 -0.4648E-01 -0.6809E-01 -0.5346E-01
   90.00      0.2994     -0.3467E-02 -0.5082E-01 -0.6875E-01 -0.5400E-01
   90.50      0.2886     -0.4749E-02 -0.5532E-01 -0.6939E-01 -0.5458E-01
